Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
Barley,Ending Stocks,World,"12,147","10,632","12,664","14,372","20,251","14,646","16,022","18,089","21,682","22,168","18,089","20,236","19,522","19,215","20,433","18,197","21,737","19,857","24,289","18,921","18,339","16,061","21,469","15,518","23,141","29,576","33,826","33,575","31,724","27,528","31,512","34,910","35,042","34,916","30,011","20,505","24,148","32,197","28,958","23,876","22,509","29,115","27,509","23,418","33,045","28,199","21,396","20,437","32,079","36,898","23,877","21,977","21,179","24,536","23,766","25,714","23,754","21,470","20,158","21,892","20,815","18,294","18,777","17,631",(1000 MT)
Corn,Ending Stocks,World,"60,227","56,223","48,410","52,943","43,114","33,680","39,052","47,073","43,698","41,072","36,148","49,022","38,016","38,720","45,689","52,495","68,337","77,307","91,380","111,155","102,541","127,158","149,764","88,982","118,153","177,678","204,863","197,674","145,252","132,866","141,402","141,055","162,740","129,444","153,348","133,286","166,319","167,202","191,363","194,407","175,135","151,377","126,927","104,731","131,102","123,398","108,717","125,474","136,094","131,598","115,250","123,317","144,752","214,562","279,688","311,800","352,060","341,637","322,766","307,488","293,069","309,877","296,297","314,117",(1000 MT)
Millet,Ending Stocks,World,463,"1,421","1,455","1,383","1,093",856,"1,163","1,543","1,542","4,646","3,547","3,301","2,837","3,498","3,188","3,918","3,993","3,583","3,760","2,933","2,940","2,964","2,744","3,457","2,920","2,340","2,104","1,138","1,085",695,719,718,"1,478",378,205,205,324,275,315,225,203,288,182,621,622,231,278,451,323,300,815,574,443,506,596,287,547,687,323,612,620,620,680,580,(1000 MT)
Mixed Grain,Ending Stocks,World,0,0,0,0,0,0,0,0,7,15,65,63,116,184,124,60,124,85,111,49,47,46,49,47,67,74,41,60,127,131,132,133,111,212,100,400,400,400,535,650,763,"1,505","1,169",895,"1,856","1,664",690,942,"1,413","2,216","1,819","1,438","1,164",937,"1,242",883,436,431,419,592,434,440,402,402,(1000 MT)
Oats,Ending Stocks,World,"8,472","7,861","9,181","10,037","8,258","8,970","7,851","7,601","10,699","12,446","12,845","13,224","9,626","7,593","6,451","6,204","6,088","8,539","8,365","6,471","5,229","4,981","6,415","5,477","5,791","5,391","4,669","4,529","4,187","5,413","6,147","4,918","4,460","5,736","5,484","3,367","3,723","5,341","4,455","3,754","3,902","4,011","3,391","3,315","3,544","3,164","2,854","3,365","4,751","4,401","3,165","3,364","2,495","3,023","3,010","3,243","3,336","3,019","2,186","2,229","3,019","2,315","2,898","2,135",(1000 MT)
"Rice, Milled",Ending Stocks,World,"10,496","8,532","12,537","16,260","17,192","18,088","18,569","21,278","24,554","26,427","28,827","28,710","24,151","29,313","28,760","39,390","38,840","44,786","54,847","54,024","52,589","50,506","56,774","69,311","87,659","97,702","103,305","105,260","111,646","120,604","126,641","126,677","123,155","118,926","117,561","118,061","120,255","127,718","134,052","143,104","146,674","133,014","103,170","82,108","74,773","77,344","76,261","82,244","95,109","97,550","102,916","112,874","124,116","128,986","136,533","143,551","150,892","163,760","176,744","181,641","187,326","182,435","173,558","170,415",(1000 MT)
Rye,Ending Stocks,World,"6,565","5,745","6,759","4,870","5,230","7,692","6,122","5,094","6,398","5,341","4,787","4,462","3,796","2,934","3,958","2,635","3,329","1,770","2,762","2,205","1,944","1,690","4,359","5,710","8,050","8,041","9,054","6,729","5,666","6,575","9,569","8,663","8,043","7,832","5,079","3,060","3,215","6,703","6,548","5,693","5,666","8,026","8,588","4,515","4,145","2,813","1,211","1,607","2,432","2,807","1,698","1,195","1,399","1,921","2,000","1,624","1,469","1,151",815,869,"1,203","1,056",764,753,(1000 MT)
Sorghum,Ending Stocks,World,"21,891","21,715","22,943","22,454","20,156","14,475","13,073","14,974","13,780","12,123","8,046","9,263","7,285","7,656","8,977","9,310","10,147","12,844","12,660","11,512","11,571","15,547","17,403","13,949","13,737","19,083","23,324","20,007","15,973","10,228","7,652","5,869","9,511","4,190","4,271","2,890","5,339","5,045","6,363","5,228","3,848","4,846","4,504","5,606","4,868","5,146","3,877","6,198","6,149","4,521","5,492","4,150","4,233","5,620","5,687","5,090","5,467","4,668","5,475","3,839","3,989","4,460","3,605","4,104",(1000 MT)
Wheat,Ending Stocks,World,"82,849","69,850","75,846","70,327","78,479","60,734","87,622","97,664","121,311","103,543","80,529","89,244","74,928","82,667","81,353","86,719","127,352","109,207","134,848","120,453","112,642","112,632","130,131","145,780","168,405","178,435","190,882","158,789","134,750","136,584","170,884","161,284","176,731","182,663","163,921","155,786","164,389","197,915","209,294","209,072","206,122","203,548","169,796","136,986","157,585","154,300","134,322","129,171","170,729","204,836","200,963","201,356","181,813","202,004","226,475","248,758","268,258","287,790","284,228","297,901","284,077","272,603","269,309","266,529",(1000 MT)
Allgrain,Ending Stocks,World,"203,110","181,979","189,795","192,646","193,773","159,141","189,474","213,316","243,671","227,781","192,883","217,525","180,277","191,780","198,933","218,928","279,947","277,978","333,022","327,723","307,842","331,585","389,108","348,231","427,923","518,320","572,068","527,761","450,410","440,624","494,658","484,227","521,271","484,297","479,980","437,560","488,112","542,796","581,883","586,009","564,822","535,730","445,236","362,195","411,540","396,259","349,606","369,889","449,079","485,127","455,995","470,245","481,594","582,095","678,997","740,950","806,219","824,613","813,114","817,063","794,552","792,100","766,290","776,666",(1000 MT)
