Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,Unit Description
Barley,Production,World,54222.0,49765.0,58779.0,58415.0,64395.0,59285.0,67364.0,63821.0,73592.0,74637.0,80342.0,84962.0,83835.0,95897.0,96048.0,84131.0,117937.0,99707.0,113291.0,94980.0,93621.0,92999.0,100732.0,102609.0,100697.0,107779.0,117411.0,115895.0,101474.0,105910.0,118489.0,108385.0,118788.0,121901.0,117013.0,97460.0,101421.0,101268.0,84068.0,68010.0,72915.0,84557.0,75883.0,87003.0,87931.0,81882.0,80872.0,75207.0,89012.0,88404.0,68715.0,81229.0,74440.0,84727.0,80678.0,87157.0,93909.0,91808.0,88544.0,103948.0,107280.0,92945.0,99610.0,95618.0,93017.0,97744.0,(1000 MT)
Corn,Production,World,184211.0,194215.0,194431.0,201339.0,199583.0,210300.0,231374.0,243920.0,232807.0,247901.0,244264.0,282710.0,275531.0,301099.0,272999.0,311116.0,331791.0,335117.0,363444.0,392372.0,377032.0,408963.0,403679.0,313622.0,421393.0,440322.0,434794.0,413028.0,361139.0,422773.0,451167.0,452184.0,505411.0,445490.0,531067.0,487408.0,558595.0,536215.0,571204.0,548896.0,539695.0,541573.0,544181.0,577362.0,648039.0,636532.0,659412.0,748981.0,741175.0,774176.0,790552.0,842039.0,844123.0,968890.0,985307.0,962444.0,1067450.0,1025263.0,1068471.0,1061543.0,1066999.0,1149378.0,1113339.0,1168760.0,1171839.0,1239264.0,(1000 MT)
Millet,Production,World,22530.0,24286.0,24003.0,23940.0,27138.0,23589.0,25379.0,28817.0,25430.0,29055.0,32139.0,28993.0,24630.0,33020.0,28891.0,28633.0,28389.0,27491.0,30164.0,26426.0,27611.0,28654.0,28051.0,31670.0,28231.0,27847.0,26502.0,25910.0,31695.0,30142.0,29268.0,26068.0,31373.0,27447.0,29300.0,27749.0,29774.0,28116.0,30566.0,28615.0,27348.0,28347.0,23553.0,34247.0,29002.0,30395.0,31135.0,33071.0,33835.0,25627.0,31797.0,26922.0,26261.0,25766.0,27633.0,26359.0,29297.0,28330.0,29651.0,30428.0,32809.0,27703.0,32133.0,29602.0,28748.0,29685.0,(1000 MT)
Mixed Grain,Production,World,2059.0,797.0,2264.0,2340.0,2220.0,2432.0,2515.0,2423.0,2545.0,2729.0,3094.0,3400.0,3525.0,3609.0,3438.0,3521.0,3453.0,3479.0,3680.0,3702.0,3657.0,4007.0,4171.0,3742.0,4065.0,4172.0,4437.0,5379.0,5934.0,6754.0,7137.0,6946.0,5102.0,6010.0,5496.0,6761.0,6448.0,6784.0,7167.0,788.0,733.0,693.0,620.0,660.0,647.0,464.0,471.0,408.0,356.0,349.0,396.0,360.0,294.0,269.0,275.0,266.0,424.0,387.0,509.0,506.0,501.0,599.0,558.0,500.0,506.0,582.0,(1000 MT)
Oats,Production,World,40846.0,34331.0,34244.0,31744.0,29329.0,31513.0,33056.0,33068.0,36832.0,37768.0,38585.0,38523.0,33668.0,36879.0,32836.0,31319.0,34986.0,37509.0,35458.0,30466.0,29415.0,28565.0,33520.0,33732.0,33530.0,35038.0,34675.0,31563.0,26348.0,30700.0,30622.0,25229.0,28230.0,28493.0,26543.0,22753.0,23746.0,24298.0,19543.0,15444.0,16956.0,18393.0,15557.0,16997.0,16093.0,15385.0,14625.0,16454.0,16332.0,14329.0,11840.0,14035.0,12870.0,14810.0,14302.0,14558.0,17118.0,16395.0,15159.0,16226.0,17489.0,15299.0,18028.0,13460.0,14811.0,16304.0,(1000 MT)
"Rice, Milled",Production,World,149943.0,146289.0,154132.0,168112.0,179763.0,172082.0,178080.0,187851.0,193948.0,199963.0,211921.0,214674.0,207962.0,226337.0,224478.0,241727.0,234323.0,249197.0,260928.0,254835.0,268733.0,276838.0,283892.0,306029.0,315617.0,316653.0,314738.0,313807.0,330710.0,343910.0,349748.0,351780.0,352444.0,353316.0,362679.0,367350.0,378631.0,385571.0,393211.0,407527.0,397741.0,397879.0,376223.0,390628.0,399135.0,416295.0,418320.0,432304.0,448488.0,438859.0,449377.0,467581.0,474076.0,480053.0,481368.0,475640.0,490484.0,493339.0,496516.0,496817.0,507581.0,512501.0,515636.0,522604.0,539701.0,539385.0,(1000 MT)
Rye,Production,World,25574.0,26008.0,24763.0,20848.0,22290.0,25697.0,22249.0,21930.0,23694.0,20786.0,19791.0,22753.0,19736.0,20661.0,23808.0,16716.0,21785.0,15910.0,22112.0,14692.0,17627.0,17772.0,23440.0,26731.0,24550.0,23703.0,22653.0,24595.0,23839.0,26423.0,29764.0,21854.0,24867.0,21433.0,16625.0,15797.0,16393.0,18079.0,13689.0,7766.0,8783.0,10587.0,11066.0,6919.0,6956.0,6806.0,5642.0,6687.0,8048.0,7566.0,3831.0,5291.0,4950.0,5621.0,5605.0,4329.0,4928.0,4938.0,3829.0,3857.0,5297.0,4406.0,4603.0,4071.0,3736.0,3635.0,(1000 MT)
Sorghum,Production,World,40753.0,38540.0,41749.0,43617.0,41481.0,46218.0,49104.0,53044.0,51137.0,54433.0,54738.0,57255.0,53513.0,65440.0,59884.0,63355.0,61700.0,63817.0,62902.0,60958.0,58812.0,69849.0,64655.0,58119.0,65425.0,69871.0,64166.0,56231.0,54079.0,54786.0,53334.0,53131.0,64892.0,54737.0,57141.0,54891.0,69306.0,56959.0,59759.0,58518.0,54899.0,58865.0,53276.0,59920.0,57810.0,58700.0,55877.0,65996.0,62716.0,55227.0,60441.0,55517.0,53432.0,60324.0,64405.0,61524.0,61599.0,55466.0,57496.0,55954.0,61478.0,60397.0,56892.0,58013.0,62037.0,62286.0,(1000 MT)
Wheat,Production,World,191320.0,180080.0,196410.0,186126.0,215298.0,207006.0,252718.0,235710.0,266861.0,249045.0,253969.0,281406.0,275018.0,303395.0,284478.0,293197.0,350624.0,316739.0,366796.0,350918.0,358000.0,373028.0,392354.0,402079.0,406351.0,404981.0,434060.0,408472.0,400901.0,435488.0,486637.0,436803.0,474949.0,475625.0,438580.0,451337.0,482780.0,515995.0,487410.0,464393.0,450084.0,459638.0,436536.0,444670.0,479335.0,486249.0,471164.0,490877.0,532340.0,547811.0,513633.0,560561.0,526861.0,573549.0,575204.0,578556.0,626283.0,623627.0,606769.0,620509.0,646075.0,642341.0,655983.0,656975.0,678660.0,698167.0,(1000 MT)
Allgrain,Production,World,711458.0,694311.0,730775.0,736481.0,781497.0,778122.0,861839.0,870584.0,906846.0,916317.0,938843.0,1014676.0,977418.0,1086337.0,1026860.0,1073715.0,1184988.0,1148966.0,1258775.0,1229349.0,1234508.0,1300675.0,1334494.0,1278333.0,1399859.0,1430366.0,1453436.0,1394880.0,1336119.0,1456886.0,1556166.0,1482380.0,1606056.0,1534452.0,1584444.0,1531506.0,1667094.0,1673285.0,1666617.0,1599957.0,1569154.0,1600532.0,1536895.0,1618406.0,1724948.0,1732708.0,1737518.0,1869985.0,1932302.0,1952348.0,1930582.0,2053535.0,2017307.0,2214009.0,2234777.0,2210833.0,2391492.0,2339553.0,2366944.0,2389788.0,2445509.0,2505569.0,2496782.0,2549603.0,2593055.0,2687052.0,(1000 MT)
