Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
Barley,Production,World,"78,905","74,307","87,141","89,171","96,260","92,662","102,537","105,024","114,998","117,969","119,817","131,413","132,501","146,048","149,550","135,950","166,178","157,064","175,608","153,829","157,364","149,470","161,179","158,520","170,456","173,587","178,029","175,338","164,372","166,129","179,458","169,838","166,245","168,940","160,700","141,173","153,137","153,876","135,975","127,388","132,984","143,498","134,231","142,937","152,310","136,162","136,779","132,753","154,944","150,996","122,606","133,219","129,235","144,409","141,654","149,540","147,216","143,332","139,599","159,296","161,465","145,395","151,893","145,755",(1000 MT)
Corn,Production,World,"199,576","207,786","207,267","217,054","215,389","225,485","250,080","262,164","252,496","270,038","268,078","308,500","301,447","330,523","299,781","339,215","356,140","365,441","392,120","425,566","408,734","441,748","439,854","348,338","458,316","478,821","475,259","450,722","400,350","461,517","481,763","492,711","535,646","475,859","559,592","516,694","592,897","574,161","605,805","608,082","591,537","601,653","604,111","627,533","716,905","700,008","715,472","798,592","806,405","833,852","849,317","910,497","898,824","1,027,325","1,058,215","1,015,916","1,128,230","1,081,548","1,128,578","1,123,118","1,128,943","1,218,704","1,150,684","1,224,465",(1000 MT)
Millet,Production,World,"22,539","24,291","24,009","23,946","27,145","23,594","25,388","28,826","25,438","29,059","32,144","28,998","24,635","33,025","28,896","28,636","28,392","27,494","30,168","26,429","27,614","28,657","28,054","31,673","28,246","27,867","26,519","25,926","31,710","30,157","29,283","26,083","31,388","27,460","29,320","27,764","29,789","28,131","30,566","28,615","27,348","28,347","23,553","34,247","29,002","30,395","31,135","33,071","33,835","25,627","31,797","26,922","26,261","25,766","27,633","26,359","29,297","28,301","29,611","30,229","32,619","27,706","31,449","30,945",(1000 MT)
Mixed Grain,Production,World,"5,932","4,459","6,311","9,437","6,227","5,888","5,771","5,930","6,068","6,113","5,953","6,549","6,566","6,405","6,214","6,002","5,296","5,414","4,711","4,646","4,605","4,917","5,287","4,556","5,239","5,251","5,511","6,642","6,703","8,275","8,229","9,252","7,521","8,659","8,056","9,838","10,544","11,592","12,344","11,524","11,346","13,335","13,584","12,386","17,108","15,672","13,497","15,060","15,927","17,152","15,599","14,779","15,320","15,642","17,030","16,057","15,277","15,582","13,509","15,041","15,855","15,646","13,911","14,165",(1000 MT)
Oats,Production,World,"55,933","48,871","48,676","45,809","42,567","44,618","46,266","48,122","51,455","51,918","51,640","53,799","47,623","49,764","46,693","44,615","45,794","48,375","48,518","42,545","41,461","40,204","46,189","43,537","45,812","46,999","44,541","40,641","35,427","39,272","39,326","33,013","33,864","35,381","32,904","28,578","30,632","30,963","25,690","24,043","25,790","26,932","25,287","26,050","25,279","23,402","22,460","25,144","25,332","22,970","19,340","21,962","20,779","23,190","22,123","22,082","24,346","23,628","22,216","23,206","25,711","22,730","25,565","22,502",(1000 MT)
"Rice, Milled",Production,World,"150,824","147,300","155,105","169,013","180,738","172,900","178,987","188,853","194,855","201,087","213,013","215,772","208,937","227,561","225,662","242,892","235,387","250,121","262,067","256,114","269,910","277,932","284,980","307,004","316,770","317,998","316,052","315,125","332,046","345,312","351,371","353,267","353,852","354,626","364,055","368,655","380,339","387,370","394,960","409,295","399,224","399,476","378,103","392,547","401,177","418,138","420,213","434,243","450,316","440,832","451,430","469,526","476,109","481,470","483,139","476,839","491,980","494,951","498,248","498,226","509,079","513,744","512,493","520,768",(1000 MT)
Rye,Production,World,"35,582","33,867","33,356","29,202","31,328","33,775","29,466","30,095","31,923","28,090","26,409","30,439","27,411","27,675","31,160","22,786","28,089","22,839","29,375","20,944","24,282","23,557","29,497","33,058","32,046","30,699","29,222","30,982","29,627","33,336","36,819","27,351","28,674","26,005","21,568","21,931","22,073","24,100","20,034","19,250","19,058","22,552","20,330","13,897","16,996","14,499","12,188","14,370","17,314","17,521","11,407","12,191","13,713","15,772","14,469","12,162","12,333","12,304","10,001","12,260","14,304","12,512","12,144","12,088",(1000 MT)
Sorghum,Production,World,"40,812","38,578","41,800","43,720","41,619","46,372","49,309","53,260","51,451","54,812","55,122","57,669","54,004","65,911","60,328","63,824","62,157","64,411","63,631","61,564","59,403","70,436","65,137","58,553","65,882","70,228","64,528","56,578","54,536","55,315","53,814","53,780","65,726","55,482","57,695","55,361","69,854","57,720","60,422","59,080","55,294","59,464","54,116","60,333","58,310","59,201","56,435","66,529","63,418","55,861","61,033","56,104","55,004","61,958","65,675","62,528","63,098","57,735","59,254","57,730","63,118","62,296","57,163","63,456",(1000 MT)
Wheat,Production,World,"233,451","220,049","246,780","230,387","264,911","259,312","300,651","291,948","323,774","304,021","306,531","344,119","337,486","366,069","355,226","352,647","414,348","377,844","438,942","417,542","435,867","444,995","472,739","484,451","508,908","494,802","524,043","498,674","495,264","533,110","588,798","543,437","562,668","558,555","523,121","537,498","581,286","610,176","590,495","587,392","582,813","583,762","570,058","556,093","626,932","618,890","596,746","612,121","684,751","688,138","650,595","698,632","660,778","718,135","731,580","739,098","756,842","760,286","729,777","759,392","773,450","781,047","790,198","796,666",(1000 MT)
Allgrain,Production,World,"823,554","799,508","850,445","857,739","906,184","904,606","988,455","1,014,222","1,052,458","1,063,107","1,078,707","1,177,258","1,140,610","1,252,981","1,203,510","1,236,567","1,341,781","1,319,003","1,445,140","1,409,179","1,429,240","1,481,916","1,532,916","1,469,690","1,631,675","1,646,252","1,663,704","1,600,628","1,550,035","1,672,423","1,768,861","1,708,732","1,785,584","1,710,967","1,757,011","1,707,492","1,870,551","1,878,089","1,876,291","1,874,669","1,845,394","1,879,019","1,823,373","1,866,023","2,044,019","2,016,367","2,004,925","2,131,883","2,252,242","2,252,949","2,213,124","2,343,832","2,296,023","2,513,667","2,561,518","2,520,581","2,668,619","2,617,667","2,630,793","2,678,498","2,724,544","2,799,780","2,745,500","2,830,810",(1000 MT)
