Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
Barley,Production,World,261964600000000.0,246699240000000.0,289308120000000.0,296047720000000.0,319583200000000.0,307637840000000.0,340422840000000.0,348679680000000.0,381793360000000.0,391657080000000.0,397792440000000.0,436291160000000.0,439903320000000.0,484879360000000.0,496506000000000.0,451354000000000.0,551710960000000.0,521452480000000.0,583018560000000.0,510712280000000.0,522448480000000.0,496240400000000.0,535114280000000.0,526286400000000.0,565913920000000.0,576308840000000.0,591056280000000.0,582122160000000.0,545715040000000.0,551548280000000.0,595800560000000.0,563862160000000.0,551933400000000.0,560880800000000.0,533524000000000.0,468694360000000.0,508414840000000.0,510868320000000.0,451437000000000.0,422928160000000.0,441506880000000.0,476413360000000.0,445646920000000.0,474550840000000.0,505669200000000.0,452057840000000.0,454106280000000.0,440739960000000.0,514414080000000.0,501306720000000.0,407051920000000.0,442287080000000.0,429060200000000.0,479437880000000.0,470291280000000.0,496472800000000.0,488757120000000.0,475862240000000.0,463468680000000.0,528862720000000.0,536063800000000.0,482711400000000.0,504284760000000.0,483906600000000.0,(kcal)
Corn,Production,World,710490560000000.0,739718160000000.0,737870520000000.0,772712240000000.0,766784840000000.0,802726600000000.0,890284800000000.0,933303840000000.0,898885760000000.0,961335280000000.0,954357680000000.0,1098260000000000.0,1073151320000000.0,1176661880000000.0,1067220360000000.0,1207605400000000.0,1267858400000000.0,1300969960000000.0,1395947200000000.0,1515014960000000.0,1455093040000000.0,1572622880000000.0,1565880240000000.0,1240083280000000.0,1631604960000000.0,1704602760000000.0,1691922040000000.0,1604570320000000.0,1425246000000000.0,1643000520000000.0,1715076280000000.0,1754051160000000.0,1906899760000000.0,1694058040000000.0,1992147520000000.0,1839430640000000.0,2110713320000000.0,2044013160000000.0,2156665800000000.0,2164771920000000.0,2105871720000000.0,2141884680000000.0,2150635160000000.0,2234017480000000.0,2552181800000000.0,2492028480000000.0,2547080320000000.0,2842987520000000.0,2870801800000000.0,2968513120000000.0,3023568520000000.0,3241369320000000.0,3199813440000000.0,3657277000000000.0,3767245400000000.0,3616660960000000.0,4016498800000000.0,3850310880000000.0,4017737680000000.0,3998300080000000.0,4019037080000000.0,4338586240000000.0,4096435040000000.0,4359095400000000.0,(kcal)
Millet,Production,World,76632600000000.0,82589400000000.0,81630600000000.0,81416400000000.0,92293000000000.0,80219600000000.0,86319200000000.0,98008400000000.0,86489200000000.0,98800600000000.0,109289600000000.0,98593200000000.0,83759000000000.0,112285000000000.0,98246400000000.0,97362400000000.0,96532800000000.0,93479600000000.0,102571200000000.0,89858600000000.0,93887600000000.0,97433800000000.0,95383600000000.0,107688200000000.0,96036400000000.0,94747800000000.0,90164600000000.0,88148400000000.0,107814000000000.0,102533800000000.0,99562200000000.0,88682200000000.0,106719200000000.0,93364000000000.0,99688000000000.0,94397600000000.0,101282600000000.0,95645400000000.0,103924400000000.0,97291000000000.0,92983200000000.0,96379800000000.0,80080200000000.0,116439800000000.0,98606800000000.0,103343000000000.0,105859000000000.0,112441400000000.0,115039000000000.0,87131800000000.0,108109800000000.0,91534800000000.0,89287400000000.0,87604400000000.0,93952200000000.0,89620600000000.0,99609800000000.0,96223400000000.0,100677400000000.0,102778600000000.0,110904600000000.0,94200400000000.0,106926600000000.0,105213000000000.0,(kcal)
Mixed Grain,Production,World,20168800000000.0,15160600000000.0,21457400000000.0,32085800000000.0,21171800000000.0,20019200000000.0,19621400000000.0,20162000000000.0,20631200000000.0,20784200000000.0,20240200000000.0,22266600000000.0,22324400000000.0,21777000000000.0,21127600000000.0,20406800000000.0,18006400000000.0,18407600000000.0,16017400000000.0,15796400000000.0,15657000000000.0,16717800000000.0,17975800000000.0,15490400000000.0,17812600000000.0,17853400000000.0,18737400000000.0,22582800000000.0,22790200000000.0,28135000000000.0,27978600000000.0,31456800000000.0,25571400000000.0,29440600000000.0,27390400000000.0,33449200000000.0,35849600000000.0,39412800000000.0,41969600000000.0,39181600000000.0,38576400000000.0,45339000000000.0,46185600000000.0,42112400000000.0,58167200000000.0,53284800000000.0,45889800000000.0,51204000000000.0,54151800000000.0,58316800000000.0,53036600000000.0,50248600000000.0,52088000000000.0,53182800000000.0,57902000000000.0,54593800000000.0,51941800000000.0,52978800000000.0,45930600000000.0,51139400000000.0,53907000000000.0,53196400000000.0,47297400000000.0,48161000000000.0,(kcal)
Oats,Production,World,215342050000000.0,188153350000000.0,187402600000000.0,176364650000000.0,163882950000000.0,171779300000000.0,178124100000000.0,185269700000000.0,198101750000000.0,199884300000000.0,198814000000000.0,207126150000000.0,183348550000000.0,191591400000000.0,179768050000000.0,171767750000000.0,176306900000000.0,186243750000000.0,186794300000000.0,163798250000000.0,159624850000000.0,154785400000000.0,177827650000000.0,167617450000000.0,176376200000000.0,180946150000000.0,171482850000000.0,156467850000000.0,136393950000000.0,151197200000000.0,151405100000000.0,127100050000000.0,130376400000000.0,136216850000000.0,126680400000000.0,110025300000000.0,117933200000000.0,119207550000000.0,98906500000000.0,92565550000000.0,99291500000000.0,103688200000000.0,97354950000000.0,100292500000000.0,97324150000000.0,90097700000000.0,86471000000000.0,96804400000000.0,97528200000000.0,88434500000000.0,74459000000000.0,84553700000000.0,79999150000000.0,89281500000000.0,85173550000000.0,85015700000000.0,93732100000000.0,90967800000000.0,85531600000000.0,89343100000000.0,98987350000000.0,87510500000000.0,98425250000000.0,86632700000000.0,(kcal)
"Rice, Milled",Production,World,542966400000000.0,530280000000000.0,558378000000000.0,608446800000000.0,650656800000000.0,622440000000000.0,644353200000000.0,679870800000000.0,701478000000000.0,723913200000000.0,766846800000000.0,776779200000000.0,752173200000000.0,819219600000000.0,812383200000000.0,874411200000000.0,847393200000000.0,900435600000000.0,943441200000000.0,922010400000000.0,971676000000000.0,1000555200000000.0,1025928000000000.0,1105214400000000.0,1140372000000000.0,1144792800000000.0,1137787200000000.0,1134450000000000.0,1195365600000000.0,1243123200000000.0,1264935600000000.0,1271761200000000.0,1273867200000000.0,1276653600000000.0,1310598000000000.0,1327158000000000.0,1369220400000000.0,1394532000000000.0,1421856000000000.0,1473462000000000.0,1437206400000000.0,1438113600000000.0,1361170800000000.0,1413169200000000.0,1444237200000000.0,1505296800000000.0,1512766800000000.0,1563274800000000.0,1621137600000000.0,1586995200000000.0,1625148000000000.0,1690293600000000.0,1713992400000000.0,1733292000000000.0,1739300400000000.0,1716620400000000.0,1771128000000000.0,1781823600000000.0,1793692800000000.0,1793613600000000.0,1832684400000000.0,1849478400000000.0,1844974800000000.0,1874764800000000.0,(kcal)
Rye,Production,World,113506580000000.0,108035730000000.0,106405640000000.0,93154380000000.0,99936320000000.0,107742250000000.0,93996540000000.0,96003050000000.0,101834370000000.0,89607100000000.0,84244710000000.0,97100410000000.0,87441090000000.0,88283250000000.0,99400400000000.0,72687340000000.0,89603910000000.0,72856410000000.0,93706250000000.0,66811360000000.0,77459580000000.0,75146830000000.0,94095430000000.0,105455020000000.0,102226740000000.0,97929810000000.0,93218180000000.0,98832580000000.0,94510130000000.0,106341840000000.0,117452610000000.0,87249690000000.0,91470060000000.0,82955950000000.0,68801920000000.0,69959890000000.0,70412870000000.0,76879000000000.0,63908460000000.0,61407500000000.0,60795020000000.0,71940880000000.0,64852700000000.0,44331430000000.0,54217240000000.0,46251810000000.0,38879720000000.0,45840300000000.0,55231660000000.0,55891990000000.0,36388330000000.0,38889290000000.0,43744470000000.0,50312680000000.0,46156110000000.0,38796780000000.0,39342270000000.0,39249760000000.0,31903190000000.0,39109400000000.0,45629760000000.0,39913280000000.0,38739360000000.0,38560720000000.0,(kcal)
Sorghum,Production,World,139985160000000.0,132322540000000.0,143374000000000.0,149959600000000.0,142753170000000.0,159055960000000.0,169129870000000.0,182681800000000.0,176476930000000.0,188005160000000.0,189068460000000.0,197804670000000.0,185233720000000.0,226074730000000.0,206925040000000.0,218916320000000.0,213198510000000.0,220929730000000.0,218254330000000.0,211164520000000.0,203752290000000.0,241595480000000.0,223419910000000.0,200836790000000.0,225975260000000.0,240882040000000.0,221331040000000.0,194062540000000.0,187058480000000.0,189730450000000.0,184582020000000.0,184465400000000.0,225440180000000.0,190303260000000.0,197893850000000.0,189888230000000.0,239599220000000.0,197979600000000.0,207247460000000.0,202644400000000.0,189658420000000.0,203961520000000.0,185617880000000.0,206942190000000.0,200003300000000.0,203059430000000.0,193572050000000.0,228194470000000.0,217523740000000.0,191603230000000.0,209343190000000.0,192436720000000.0,188663720000000.0,212515940000000.0,225265250000000.0,214471040000000.0,216426140000000.0,198031050000000.0,203241220000000.0,198013900000000.0,216494740000000.0,213675280000000.0,196069090000000.0,217654080000000.0,(kcal)
Wheat,Production,World,779726340000000.0,734963660000000.0,824245200000000.0,769492580000000.0,884802740000000.0,866102080000000.0,1004174340000000.0,975106320000000.0,1081405160000000.0,1015430140000000.0,1023813540000000.0,1149357460000000.0,1127203240000000.0,1222670460000000.0,1186454840000000.0,1177840980000000.0,1383922320000000.0,1261998960000000.0,1466066280000000.0,1394590280000000.0,1455795780000000.0,1486283300000000.0,1578948260000000.0,1618066340000000.0,1699752720000000.0,1652638680000000.0,1750303620000000.0,1665571160000000.0,1654181760000000.0,1780587400000000.0,1966585320000000.0,1815079580000000.0,1879311120000000.0,1865573700000000.0,1747224140000000.0,1795243320000000.0,1941495240000000.0,2037987840000000.0,1972253300000000.0,1961889280000000.0,1946595420000000.0,1949765080000000.0,1903993720000000.0,1857350620000000.0,2093952880000000.0,2067092600000000.0,1993131640000000.0,2044484140000000.0,2287068340000000.0,2298380920000000.0,2172987300000000.0,2333430880000000.0,2206998520000000.0,2398570900000000.0,2443477200000000.0,2468587320000000.0,2527852280000000.0,2539355240000000.0,2437455180000000.0,2536369280000000.0,2583323000000000.0,2608696980000000.0,2639261320000000.0,2660864440000000.0,(kcal)
Allgrain,Ending Stocks,World,2860783090000000.0,2777922680000000.0,2950072080000000.0,2979680170000000.0,3141864820000000.0,3137722830000000.0,3426426290000000.0,3519085590000000.0,3647095730000000.0,3689417060000000.0,3744467430000000.0,4083578850000000.0,3954537840000000.0,4343442680000000.0,4168031890000000.0,4292352190000000.0,4644533400000000.0,4576774090000000.0,5005816720000000.0,4889757050000000.0,4955394620000000.0,5141381090000000.0,5314573170000000.0,5086738280000000.0,5656070800000000.0,5710702280000000.0,5766003210000000.0,5546807810000000.0,5369075160000000.0,5796197690000000.0,6123378290000000.0,5923708240000000.0,6191588720000000.0,5929446800000000.0,6103948230000000.0,5928246540000000.0,6494921290000000.0,6516525670000000.0,6518168520000000.0,6516141410000000.0,6412484960000000.0,6527486120000000.0,6335537930000000.0,6489206460000000.0,7104359770000000.0,7012512460000000.0,6977756610000000.0,7425970990000000.0,7832896220000000.0,7836574280000000.0,7710092660000000.0,8165043990000000.0,8003647300000000.0,8761475100000000.0,8928763390000000.0,8780839400000000.0,9305288310000000.0,9124802770000000.0,9179638350000000.0,9337530080000000.0,9497031730000000.0,9767968880000000.0,9572413620000000.0,9874852740000000.0,(kcal)
