crop,harvest_area_km2,upper_bound_mt,lower_bound_mt,envelope_width_mt
bana,0.0,192.3000030517578,0.10000000149011612,192.2000030502677
bana,155.73636136136136,447244.5091279127,0.18214779378013332,447244.32698011893
bana,311.4727227227227,526573.5443954752,0.36429559022045305,526573.180099885
bana,467.2090840840841,576976.8379754949,0.5464433842707223,576976.2915321107
bana,622.9454454454454,613429.8724947139,0.7285912187640594,613429.1439034952
bana,778.6818068068068,641632.9047091563,0.9107390532573967,641631.993970103
bana,934.4181681681682,664738.5943265505,1.092886887750734,664737.5014396628
bana,1090.1545295295296,684236.3984447059,1.2750347222440712,684235.1234099836
bana,1245.890890890891,700871.7430901915,1.4571825567374084,700870.2859076348
bana,1401.6272522522522,715247.9201489951,1.6393303912307458,715246.2808186039
bana,1557.3636136136136,728020.8090481644,1.821478225724083,728018.9875699386
bana,1713.0999749749749,739648.0473112963,2.0036259366859572,739646.0436853596
bana,1868.8363363363364,750295.3015040414,2.185773554042207,750293.1157304874
bana,2024.5726976976978,760004.2776615453,2.3679211713984567,760001.909740374
bana,2180.309059059059,768838.3930608914,2.5500687887547064,768835.8429921026
bana,2336.04542042042,777103.0726128103,2.7322164061109557,777100.3403964041
bana,2491.781781781782,784872.3012112043,2.9143640234672055,784869.3868471808
bana,2647.5181431431433,792122.9276287268,3.096511640823455,792119.831117086
bana,2803.2545045045044,798955.7213619332,3.2786592581797045,798952.442702675
bana,2958.990865865866,805397.5458694566,3.4608068755359542,805394.0850625811
bana,3114.727227227227,811485.0539843442,3.6429544928922035,811481.4110298513
bana,3270.4635885885887,817167.7135004574,3.8264846196985443,817163.8870158376
bana,3426.1999499499498,822577.1877196233,4.02136587024034,822573.1663537531
bana,3581.9363113113113,827790.9484289688,4.234619562326056,827786.7138094065
bana,3737.672672672673,832821.5804193787,4.456480519886221,832817.1239388589
bana,3893.409034034034,837647.9149919659,4.681287749294838,837643.2337042165
bana,4049.1453953953956,842274.6835456231,4.919991782795293,842269.7635538403
bana,4204.881756756757,846771.375976619,5.16727879411625,846766.2086978249
bana,4360.618118118118,851080.2363253061,5.431094062720895,851074.8052312434
bana,4516.35447947948,855229.1870290955,5.7160315734249885,855223.470997522
bana,4672.09084084084,859236.0858201951,6.013030116361125,859230.0727900788
bana,4827.827202202202,863081.6428326002,6.316587343014554,863075.3262452572
bana,4983.563563563564,866791.2121308552,6.638817391456769,866784.5733134637
bana,5139.299924924925,870379.2376619866,6.973725145295571,870372.2639368413
bana,5295.036286286287,873834.4645429638,7.335126869938323,873827.1294160938
bana,5450.772647647647,877144.7544756508,7.699422104650821,877137.0550535462
